director_id,name
1122267430,Alan Jacobs
1123891621,Nacho Cerdà
1124127162,Donald Wrye
1124814093,Tom Six
1125127228,Tom Gustafson
1125203606,Bruno Dumont
1127561827,Jarrad Paul
1127800832,Olivier Nakache
1127960027,Eddie Murphy
1130038870,Steven Zaillian
1130529234,Shinsuke Sato
1132570321,John Hamburg
1135060322,Clark Gregg
1135448320,Jonathan Glazer
1136873471,Stacy Peralta
1137170185,Abel Ferrara
1139727800,Patrick Brice
1141326508,Jiří Menzel
1141394362,Peter Templeman
1142053360,Hiroki Yamaguchi
1142705297,Miles Swain
1143331661,Tommy O'Haver
1144538124,Sanaa Hamri
1144980748,Paul Thomas Anderson
1145973027,John Cromwell
1146909999,Will Meugniot
1147711731,Masayuki Suō
1148400286,Liz Garbus
1148500041,Giorgio Diritti
1149221446,Edward F. Cline
1149873099,Mark Mylod
1150948925,James Swirsky
1151468715,James Hanlon
1153110138,Kihachi Okamoto
1155631914,Alexandre Rockwell
